en,hi,gu,mr,ml
Processing Fee,प्रोसेसिंग फी,પ્રોસેસિંગ ફી,प्रोसेसिंग फी,പ്രോസസ്സിംഗ് ഫീ
Prepayment Fee,प्रीपेमेंट फी,પ્રીપેમેન્ટ ફી,प्रीपेमेंट फी,പ്രീപേമെന്റ് ഫീ
Foreclosure Fee,फोरक्लोजर फी,ફોરક્લોઝર ફી,फोरक्लोजर फी,ഫോർക്ലോസർ ഫീ
Account Maintenance Fee,अकाउंट मेंटेनेंस फी,અકાઉન્ટ મેન્ટેનન્સ ફી,अकाउंट मेंटेनेंस फी,അക്കൗണ്ട് മെയിന്റനൻസ് ഫീ
Interest,इंटरेस्ट,ઇન્ટરેસ્ટ,इंटरेस्ट,ഇന്ററസ്റ്റ്
Compound Interest,कंपाउंड इंटरेस्ट,કંપાઉન્ડ ઇન્ટરેસ્ટ,कंपाउंड इंटरेस्ट,കൂട്ടുപലിശ
Simple Interest,सिंपल इंटरेस्ट,સિમ્પલ ઇન્ટરેસ્ટ,सिंपल इंटरेस्ट,സിംപിൾ ഇന്ററസ്റ്റ്
Principal,प्रिंसिपल,પ્રિન્સિપલ,प्रिन्सिपल,പ്രിൻസിപ്പൽ
EMI,ईएमआई,ઈએમઆઈ,ईएमआय,ഇഎംഐ
Repayment,रिपेमेंट,રિપેમેન્ટ,रिपेमेंट,റീപെയ്മെന്റ്
Maturity,मैच्योरिटी,મેચ્યુરિટી,मॅच्युरिटी,മാച്ചുറിറ്റി
Collateral,कोलेटरल,કોલેટરલ,कोलेटरल,കൊല്ലറ്ററൽ
Security,सिक्योरिटी,સિક્યોરિટી,सिक्योरिटी,സെക്യൂരിറ്റി
Guarantor,गारंटर,ગેરેંટર,गारंटर,ഗാരന്റർ
Current Account,करंट अकाउंट,કરન્ટ એકાઉન્ટ,करंट अकाउंट,കരൻറ് അക്കൗണ്ട്
Savings Account,सेविंग्स अकाउंट,સેવિંગ્સ એકાઉન્ટ,सेव्हिंग्स अकाउंट,സേവിംഗ്സ് അക്കൗണ്ട്
Saving Account,सेविंग अकाउंट,સેવિંગ એકાઉન્ટ,सेव्हिंग अकाउंट,സേവിംഗ് അക്കൗണ്ട്
Recurring Deposit,रिकरिंग डिपॉज़िट,રિકરિંગ ડિપોઝિટ,रिकरिंग डिपॉज़िट,റിക്കറിംഗ് ഡെപ്പോസിറ്റ്
Fixed Deposit,फिक्स्ड डिपॉज़िट,ફિક્સ્ડ ડિપોઝિટ,फिक्स्ड डिपॉज़िट,ഫിക്സ്ഡ് ഡെപ്പോസിറ്റ്
Term Deposit,टर्म डिपॉज़िट,ટર્મ ડિપોઝિટ,टर्म डिपॉज़िट,ടേം ഡെപ്പോസിറ്റ്
Demand Deposit,डिमांड डिपॉज़िट,ડિમાન્ડ ડિપોઝિટ,डिमांड डिपॉज़िट,ഡിമാൻഡ് ഡെപ്പോസിറ്റ്
Bank Account,बैंक अकाउंट,બેંક એકાઉન્ટ,बँक अकाउंट,ബാങ്ക് അക്കൗണ്ട്
Money Market Account,मनी मार्केट अकाउंट,મની માર્કેટ એકાઉન્ટ,मनी मार्केट अकाउंट,മണി മാർക്കറ്റ് അക്കൗണ്ട്
Certificate of Deposit,सर्टिफिकेट ऑफ डिपॉज़िट,સર્ટિફિકેટ ઓફ ડિપોઝિટ,सर्टिफिकेट ऑफ डिपॉज़िट,സർട്ടിഫിക്കറ്റ് ഓഫ് ഡെപ്പോസിറ്റ്
CD Account,सीडी अकाउंट,સીડી એકાઉન્ટ,सीडी अकाउंट,സിഡി അക്കൗണ്ട്
Interest Rate,इंटरेस्ट रेट,ઇન્ટરેસ્ટ રેટ,इंटरेस्ट रेट,ഇന്ററസ്റ്റ് റേറ്റ്
Annual Percentage Yield,एनुअल परसेंटेज यील्ड,એન્યુઅલ પરસેન્ટેજ યિલ્ડ,एनुअल परसेंटेज यील्ड,വാർഷിക ശതമാന യിൽഡ്
Annual Percentage Rate,एनुअल परसेंटेज रेट,એન્યુઅલ પરસેન્ટેજ રેટ,एनुअल परसेंटेज रेट,വാർഷിക ശതമാന നിരക്ക്
Loan,लोन,લોન,लोन,ലോൺ
Mortgage,मॉर्टगेज,મોર્ટગેજ,मॉर्टगेज,മോർട്ട്ഗേജ്
Personal Loan,पर्सनल लोन,પર્સનલ લોન,पर्सनल लोन,പേഴ്സണൽ ലോൺ
Home Loan,होम लोन,હોમ લોન,होम लोन,ഹോം ലോൺ
Auto Loan,ऑटो लोन,ઑટો લોન,ऑटो लोन,ഓട്ടോ ലോൺ
Business Loan,बिजनेस लोन,બિઝનેસ લોન,बिजनेस लोन,ബിസിനസ് ലോൺ
Education Loan,एजुकेशन लोन,એજ્યુકેશન લોન,एजुकेशन लोन,എജുക്കേഷൻ ലോൺ
Gold Loan,गोल्ड लोन,ગોલ્ડ લોન,गोल्ड लोन,ഗോൾഡ് ലോൺ
Overdraft,ओवरड्राफ्ट,ઓવરડ્રાફ્ટ,ओवरड्राफ्ट,ഓവർഡ്രാഫ്റ്റ്
Line of Credit,लाइन ऑफ क्रेडिट,લાઇન ઓફ ક્રેડિટ,लाइन ऑफ क्रेडिट,ലൈൻ ഓഫ് ക്രെഡിറ്റ്
Credit Card,क्रेडिट कार्ड,ક્રેડિટ કાર્ડ,क्रेडिट कार्ड,ക്രെഡിറ്റ് കാർഡ്
Debit Card,डेबिट कार्ड,ડેબિટ કાર્ડ,डेबिट कार्ड,ഡെബിറ്റ് കാർഡ്
ATM,एटीएम,એટીએમ,एटीएम,എടിഎം
Internet Banking,इंटरनेट बैंकिंग,ઇન્ટરનેટ બેન્કિંગ,इंटरनेट बैंकिंग,ഇന്റർനെറ്റ് ബാങ്കിംഗ്
Mobile Banking,मोबाइल बैंकिंग,મોબાઇલ બેન્કિંગ,मोबाइल बैंकिंग,മൊബൈൽ ബാങ്കിംഗ്
UPI,यूपीआई,યૂપીઆઈ,यूपीआय,യുപിഐ
IMPS,आईएमपीएस,આઈએમપીએસ,आयएमपीएस,ഐഎംപിഎസ്
NEFT,एनईएफटी,એનઈએફટી,एनईएफटी,എൻഇഎഫ്റ്റി
RTGS,आरटीजीएस,આરટિજીએસ,आरटीजीएस,ആർടിജിഎസ്
ECS,ईसीएस,ઈસીએસ,ईसीएस,ഇസിഎസ്
NACH,नाच,નાચ,नाच,നാച്ച്
Bharat Bill Payment System,भारत बिल पेमेंट सिस्टम,ભારત બિલ પેમેન્ટ સિસ્ટમ,भारत बिल पेमेंट सिस्टम,ഭാരത് ബിൽ പേയ്മെന്റ് സിസ്റ്റം
BBPS,बीबीपीएस,બબપીએસ,बीबीपीएस,ബിബിപിഎസ്
Paytm,पेटीएम,પેટીએમ,पेटीएम,പെറ്റിഎം
Google Pay,गूगल पे,ગુગલ પે,गूगल पे,ഗൂഗിൾ പേ
PhonePe,फोनपे,ફોનપે,फोनपे,ഫോൺപേ
BHIM,भीम,ભીમ,भीम,ഭീം
Wallet,वॉलेट,વાલેટ,वॉलेट,വാലറ്റ്
Mobile Wallet,मोबाइल वॉलेट,મોબાઇલ વાલેટ,मोबाइल वॉलेट,മൊബൈൽ വാലറ്റ്
Digital Wallet,डिजिटल वॉलेट,ડિજિટલ વાલેટ,डिजिटल वॉलेट,ഡിജിറ്റൽ വാലറ്റ്
Net Banking,नेट बैंकिंग,નેટ બેન્કિંગ,नेट बँकिंग,നെറ്റ് ബാങ്കിംഗ്
Online Banking,ऑनलाइन बैंकिंग,ઓનલાઈન બેન્કિંગ,ऑनलाइन बँकिंग,ഓൺലൈൻ ബാങ്കിംഗ്
E-Banking,ई-बैंकिंग,ઈ-બેન્કિંગ,ई-बँकिंग,ഇ-ബാങ്കിംഗ്
E-Wallet,ई-वॉलेट,ઈ-વાલેટ,ई-वॉलेट,ഇ-വാലറ്റ്
RuPay,रुपे,રુપે,रुपे,റുപേ
Joint Account,जॉइंट अकाउंट,જોઈન્ટ એકાઉન્ટ,जॉइंट अकाउंट,ജോയിന്റ് അക്കൗണ്ട്
Nominee,नॉमिनी,નોમિની,नॉमिनी,നോമിനി
Account Holder,अकाउंट होल्डर,એકાઉન્ટ ધારક,अकाउंट होल्डर,അക്കൗണ്ട് ഹോൾഡർ
KYC,केवाईसी,કેએવાયસી,केवाईसी,കെവൈസി
AML,एएमएल,એએમએલ,एएमएल,എഎംഎൽ
CFT,सीएफटी,સીએફટીએ,सीएफटी,സിഎഫ്റ്റി
CIBIL,सिबिल,સિબિલ,सिबिल,സിബിൽ
Credit Score,क्रेडिट स्कोर,ક્રેડિટ સ્કોર,क्रेडिट स्कोर,ക്രെഡിറ്റ് സ്‌കോർ
Credit History,क्रेडिट हिस्ट्री,ક્રેડિટ હિસ્ટ્રી,क्रेडिट हिस्ट्री,ക്രെഡിറ്റ് ചരിത്രം
Credit Report,क्रेडिट रिपोर्ट,ક્રેડિટ રિપોર્ટ,क्रेडिट रिपोर्ट,ക്രെഡിറ്റ് റിപ്പോർട്ട്
PAN,पैन,પેન,पॅन,പാൻ
Aadhaar,आधार,આધાર,आधार,ആധാർ
Voter ID,वोटर आईडी,વોટર આઈડી,वोटर आयडी,വോട്ടർ ഐഡി
Passport,पासपोर्ट,પાસપોર્ટ,पासपोर्ट,പാസ്‌പോർട്ട്
Driving License,ड्राइविंग लाइसेंस,ડ્રાઇવિંગ લાયસન્સ,ड्रायविंग लायसन्स,ഡ്രൈവിങ് ലൈസൻസ്
Utility Bill,यूटिलिटी बिल,યુટિલિટી બિલ,युटिलिटी बिल,യൂട്ടിലിറ്റി ബിൽ
Form 16,फॉर्म 16,ફોર્મ 16,फॉर्म 16,ഫോം 16
Income Tax Return,आयकर रिटर्न,આયકર રિટર્ન,आयकर रिटर्न,ഇൻकम ടാക്സ് റിട്ടേർൻ
TDS,टीडीएस,ટીડીએસ,टीडीएस,ടിഡിഎസ്
GST,जीएसटी,જીએસટી,जीएसटी,ജിഎസ്ടി
CGST,सीजीएसटी,સીસીજીએસટી,सीजीएसटी,സിജിഎസ്‌ടി
SGST,एसजीएसटी,એસજીએસટી,एसजीएसटी,എസ്ജിഎസ്‌ടി
IGST,आईजीएसटी,આઈજીએસટી,आईजीएसटी,ഐജിഎസ്‌ടി
Taxpayer Identification Number,करदाता पहचान क्रमांक,કરદાતા ઓળખ નંબર,करदाता ओळख क्रमांक,നികുതി അടയാളം നമ്പർ
Goods and Services Tax Identification Number,वस्तु और सेवाएँ कर पहचान क्रमांक,માલ અને સેવાઓ કર ઓળખ નંબર,गुड्स अँड सर्व्हिसेस टॅक्स आयडेंटिफिकेशन नंबर,ഗൂഡ്സ് ആന്റ് സർവീസസ് ടാക്സ് ഐഡന്റിഫിക്കേഷൻ നമ്പർ
Business Correspondent,बिजनेस कॉरेस्पॉंडेंट,બિઝનેસ-coreસ્પોન્ડેન્ટ,बिझनेस कॉरेस्पॉंडेंट,ബിസിനസ്സ് കോറസ്പോണ്ടന്റ്
Microfinance,माइक्रोफाइनेंस,માઇક્રોફાઇનાન્સ,मायक्रोफायनन्स,മൈക്രോഫൈനാൻസ്
Microcredit,माइक्रोक्रेडिट,માઇક્રોક્રેડિટ,मायक्रोक्रेडिट,മൈക്രോക്രെഡിറ്റ്
MFI,एमएफआई,એમએફઆઈ,एमएफआय,എംഎഫ്‌ഐ
NBFC,एनबीएफसी,એનબીએફસી,एनबीएफसी,എൻബിഎഫ്സി
HFC,एचएफसी,એચએફસી,एचएफसी,എച്ച്എഫ്സി
SFB,एसएफबी,એસએફબી,एसएफबी,എസ്എഫ്ബി
Payments Bank,पेमेंट्स बैंक,પેમેન્ટ્સ બેન્ક,पेमेंट्स बँक,പേയ്മെന്റ്‌സ് ബാങ്ക്
Cooperative Bank,सहकारी बैंक,સહકારી બેન્ક,सहकारी बँक,കോപറേറ്റീവ് ബാങ്ക്
Regional Rural Bank,क्षेत्रीय ग्रामीण बैंक,પ્રાદેશિક ગ્રામિન બેંક,क्षेत्रीय ग्रामीण बँक,പ്രാദേശിക ഗ്രാമീണ ബാങ്ക്
Scheduled Bank,अनुसूचित बैंक,અનુસૂચિત બેંક,अनुसूचित बँक,അനുസൂചിത ബാങ്ക്
Non-Scheduled Bank,गैर अनुसूचित बैंक,ગેર અનુસૂચિત બેંક,गैर अनुसूचित बँक,ഗെയർ അനുസൂചിത ബാങ്ക്
National Bank for Agriculture and Rural Development,राष्ट्रीय कृषि और ग्रामीण विकास बैंक,રાષ્ટ્રીય કૃષિ અને ગ્રામિણ વિકાસ બેંક,राष्ट्रीय कृषी आणि ग्रामीण विकास बँक,നാഷണൽ ബാങ്ക് ഫോർ ആഗ്രിക്കൽചർ ആൻഡ് റൂറൽ ഡെവലപ്മെന്റ്
Reserve Bank of India,भारतीय रिजर्व बैंक,ભારતીય રિઝર્વ બેંક,भारतीय रिझर्व बँक,റിസർവ് ബാങ്ക് ഓഫ് ഇന്ത്യ
Securities and Exchange Board of India,सिक्योरिटीज़ और एक्सचेंज बोर्ड ऑफ इंडिया,સિક્યોરિટીઝ એન્ડ એક્સચેન્જ બોર્ડ ઓફ ઈન્ડિયા,सिक्योरिटीज़ और एक्सचेंज बोर्ड ऑफ इंडिया,സിക്യുരിറ്റീസ് ആന്റ് എക്സ്ചേഞ്ച് ബോർ
Sukanya Samriddhi Yojana,सुकन्या समृद्धि योजना,સુકન્યા સમૃદ્ધિ યોજના,सुकन्या समृद्धी योजना,സുകന്യ സമൃദ്ധി പദ്ധതി
Senior Citizens Savings Scheme,वरिष्ठ नागरिकों की बचत योजना,વૃદ્ધ નાગરિકોની બચત યોજના,वरिष्ठ नागरिकांची बचत योजना,സീനിയർ സിറ്റിസൺസ് സേവിങ്സ് സ്കീം
Public Provident Fund,लोक भविष्य निधि,પબ્લિક પ્રોવિડન્ટ ફંડ,पब्लिक प्रोविडेंट फंड,പബ്ലിക് പ്രൊവിഡന്റ് ഫണ്ട്
National Savings Certificate,राष्ट्रीय बचत पत्र,રાષ્ટ્રીય બચત પ્રમાણપત્ર,राष्ट्रीय बचत प्रमाणपत्र,നാഷണൽ സേവിങ്സ് സർട്ടിഫിക്കറ്റ്
Kisan Vikas Patra,किसान विकास पत्र,કિસાન વિકાસ પત્ર,किसान विकास पत्र,കിസാൻ വികാസ പത്രം
Post Office Savings Account,पोस्ट ऑफिस बचत खाता,પોસ્ટ ઓફિસ બચત એકાઉન્ટ,पोस्ट ऑफिस सेव्हिंग्ज अकाउंट,പോസ്റ്റ് ഓഫീസ് സേവിങ്സ് അക്കൗണ്ട്
Post Office Monthly Income Scheme,पोस्ट ऑफिस मासिक आय योजना,પોસ્ટ ઓફિસ માસિક આવક યોજના,पोस्ट ऑफिस मासिक उत्पन्न योजना,പോസ്റ്റ് ഓഫീസ് മാസിക വരുമാനം പദ്ധതി
Mutual Fund,म्यूचुअल फंड,મ્યુચ્યુઅલ ફંડ,म्युच्युअल फंड,മ്യൂച്വൽ ഫണ്ട്
Systematic Investment Plan,सिस्टमेटिक इन्वेस्टमेंट प्लान,સિસ્ટેમેટિક ઇન્વેસ્ટમેન્ટ પ્લાન,सिस्टेमॅटिक इन्वेस्टमेंट प्लॅन,സിസ്റ്റമെറ്റിക് ഇൻവസ്റ്റ്മെന്റ് പ്ലാൻ
Equity,इक्विटी,ઇક્વિટી,इक्विटी,ഇക്വിറ്റി
Debt,ऋण,ઉધાર,कर्ज,കടം
Hybrid Fund,हाइब्रिड फंड,હાઇબ્રિડ ફંડ,हायब्रीड फंड,ഹൈബ്രിഡ് ഫണ്ട്
Index Fund,इंडेक्स फंड,ઇન્ડેક્સ ફંડ,इंडेक्स फंड,ഇൻഡക്സ് ഫണ്ട്
Exchange Traded Fund,एक्सचेंज ट्रेडेड फंड,એક્સચેન્જ ટ્રેડેડ ફંડ,एक्सचेंज ट्रेडेड फंड,എക്സ്ചേഞ്ച് ട്രേഡഡ് ഫണ്ട്
Net Asset Value,नेट एसेट वैल्यू,નેટ એસેટ વેલ્યુ,नेट अॅसेट व्हॅल्यू,നേട് ആസറ്റ് മൂല്യം
Fund Manager,फंड मैनेजर,ફંડ મેનેજર,फंड मॅनेजर,ഫണ്ട് മാനേജർ
Asset Management Company,एसेट प्रबंधन कंपनी,એસેટ મેનેજમેન્ટ કંપની,असेट मॅनेजमेंट कंपनी,ആസറ്റ് മാനേജ്മെന്റ് കമ്പനി
New Fund Offer,न्यू फंड ऑफर,ન્યુ ફંડ ઓફર,न्यू फंड ऑफर,ന്യൂ ഫണ്ട് ഓഫർ
Initial Public Offering,आईपीओ,આઈપીઓ,आईपीओ,ഐപിഒ
Follow-on Public Offering,फॉलो-ऑन सार्वजनिक प्रस्ताव,ફોલો-ઑન જાહેર ઓફર,फॉलो-ऑन सार्वजनिक ऑफर,ഫോളോ-ഓൺ പബ്ലിക് ഓഫറിംഗ്
Stock Market,स्टॉक मार्केट,સ્ટોક માર્કેટ,स्टॉक मार्केट,സ്റ്റോക്ക് മാർക്കറ്റ്
Share,शेयर,શેર,शेअर,ഷെയർ
Bond,बॉंड,બૉન્ડ,बाँड,ബോണ്ട്
Debenture,डिबेंचर,ડિબેંચર,डिबेंचर,ഡിബെഞ്ചർ
Equity Share,इक्विटी शेयर,ઇક્વિટી શેર,इक्विटी शेअर,ഇക്വിറ്റി ഷെയർ
Preference Share,प्रेफरेंस शेयर,પ્રેફરન્સ શેર,प्रेफरन्स शेअर,പ്രിഫറൻസ് ഷെയർ
Dividend,डिविडेंड,ડિવિડેન્ડ,डिविडेंड,ഡിവിഡൻഡ്
Capital Gain,कैपिटल गैन,કૅપિટલ ગેઇન,कॅपिटल गेन,കാപിറ്റൽ ഗെയിൻ
Capital Market,कैपिटल मार्केट,કૅપિટલ માર્કેટ,कॅपिटल मार्केट,കാപിറ്റൽ മാർക്കറ്റ്
Money Market,मनी मार्केट,મની માર્કેટ,मनी मार्केट,മണി മാർക്കറ്റ്
Primary Market,प्राइमरी मार्केट,પ્રાઇમરી માર્કેટ,प्राईमरी मार्केट,പ്രൈമറി മാർക്കറ്റ്
Secondary Market,सेकेंडरी मार्केट,સેકન્ડરી માર્કેટ,सेकंडरी मार्केट,സെക്കൻഡറി മാർക്കറ്റ്
Stock Exchange,स्टॉक एक्सचेंज,સ્ટોક એક્સચેંજ,स्टॉक एक्सचेंज,സ്റ്റോക്ക് എക്സ്ചേഞ്ച്
BSE,बीएसई,બીએસઇ,बीएसई,ബി എസ് ഇ
NSE,एनएसई,એનએસઇ,एनएसई,എൻഎസ്‌ഇ
Commodity Market,कमोडिटी मार्केट,કોમોડિટી માર્કેટ,कमोडिटी मार्केट,കോമോഡിറ്റി മാർക്കറ്റ്
Derivative,डेरिवेटिव,ડેરિવેટિવ,डेरिव्हेटिव्ह,ഡെരിവേറ്റിവ്
Future,फ्यूचर,ફ્યુચર,फ्यूचर,ഫ്യൂചർ
Option,ऑप्शन,ઑપ્શન,ऑप्शन,ഓപ്ഷൻ
Currency Market,करेंसी मार्केट,કરન્સી માર્કેટ,करन्सी मार्केट,കറൻസി മാർക്കറ്റ്
Forex,फॉरेक्स,ફોરેક્સ,फॉरेक्स,ഫോറക്സ്
Exchange Rate,एक्सचेंज रेट,એક્સચેન્જ રેટ,एक्सचेंज रेट,എക്സ്ചേഞ്ച് റേറ്റ്
Hedge,हेज,હેજ,हेज,ഹെജ്
Arbitrage,आर्बिट्रेज,આર્બિટ્રાજ,आर्बिट्रेज,ആർബിട്രേജ്
Margin,मार्जिन,માર્જિન,मार्जिन,മാർജിൻ
Leverage,लेवरेज,લેવરેજ,लेवरेज,ലെവറേജ്
Long Position,लॉन्ग पोजीशन,લાંગ પોઝિશન,लॉन्ग पोजिशन,ലോങ്ങ് പൊസിഷൻ
Short Position,शॉर्ट पोजीशन,શોર્ટ પોઝિશન,शॉर्ट पोजिशन,ഷോർട്ട് പൊസിഷൻ
Bull Market,बुल मार्केट,બુલ માર્કેટ,बुल मार्केट,ബുൾ മാർക്കറ്റ്
Bear Market,बेअर मार्केट,બેયર માર્કેટ,बिअर मार्केट,ബിയർ മാർക്കറ്റ്
Market Capitalization,मार्केट कैपिटलाइजेशन,માર્કેટ કેપિટલાઇઝેશન,मार्केट कॅपिटलायझेशन,മാർക്കറ്റ് ക്യാപിറ്റലൈസേഷൻ
Blue Chip Stock,ब्लू चिप स्टॉक,બ્લુ ચિપ સ્ટોક,ब्लू चिप स्टॉक,ബ്ലൂ ചിപ്പ് സ്റ്റോക്ക്
Penny Stock,पेनी स्टॉक,પેની સ્ટોક,पेनी स्टॉक,പെനി സ്റ്റോക്ക്
Growth Stock,ग्रोथ स्टॉक,ગ્રોથ સ્ટોક,ग्रोथ स्टॉक,ഗ്രോത്ത് സ്റ്റോക്ക്
Value Stock,वैल्यू स्टॉक,વેલ્યુ સ્ટોક,व्हॅल्यू स्टॉक,വാല്യു സ്റ്റോക്ക്
Defensive Stock,डिफेंसिव स्टॉक,ડિફેન્સિવ સ્ટોક,डिफेन्सिव्ह स्टॉक,ഡിഫൻസീവ് സ്റ്റോക്ക്
Cyclical Stock,साइकलिकल स्टॉक,સાયક્લિકલ સ્ટોક,सायक्लिकल स्टॉक,സൈക്ക്ലിക്കൽ സ്റ്റോക്ക്
Insider Trading,इनसाइडर ट्रेडिंग,ઇન્સાઇડર ટ્રેડિંગ,इनसाइडर ट्रेडिंग,ഇൻസൈഡർ ട്രേഡിംഗ്
Market Sentiment,मार्केट सेंटिमेंट,માર્કેટ સેન્ટિમેન્ટ,मार्केट सेंटिमेंट,മാർക്കറ്റ് സെന്റിമെന്റ്
Price-Earnings Ratio,प्राइस-अर्निंग्स रेशियो,પ્રાઇસ-અર્નિંગ્સ રેશિયો,प्राइस-अर्निंग्स रेशियो,പ്രൈസ്-എർണിംഗ്സ് റേഷ്യോ
Earnings Per Share,अर्निंग्स पर शेयर,અર્નિંગ્સ પર શેર,अर्निंग्स पर शेअर,എർണിംഗ്സ് പർ ഷെയർ
Book Value,बुक वैल्यू,બુક વેલ્યુ,बुक व्हॅल्यू,ബുക്ക് വാല്യു
Dividend Yield,डिविडेंड यील्ड,ડિવિડેન્ડ યીલ્ડ,डिविडेंड यील्ड,ഡിവിഡൻഡ് യീൽഡ്
Income Statement,इनकम स्टेटमेंट,ઇનકમ સ્ટેટમેન્ટ,इन्कम स्टेटमेंट,ഇൻകം സ്റ്റേറ്റ്മെന്റ്
Cash Flow Statement,कैश फ्लो स्टेटमेंट,કૅશ ફ્લો સ્ટેટમેન્ટ,कॅश फ्लो स्टेटमेंट,കാഷ് ഫ്ലോ സ്റ്റേറ്റ്മെന്റ്
Auditor,ऑडिटर,ઑડિટર,ऑडिटर,ഓഡിറ്റർ
Ledger,लेजर,લેજર,लेजर,ലെഡ്ജർ
Journal,जर्नल,જર્નલ,जर्नल,ജേർണൽ
Debit,डेबिट,ડેબિટ,डेबिट,ഡെബിറ്റ്
Credit,क्रेडिट,ક્રેડિટ,क्रेडिट,ക്രെഡിറ്റ്
Accrual,अक्रूअल,અકૃઅલ,अक्रूअल,അക്രൂവൽ
Depreciation,डेप्रिसिएशन,ડિપ્રિસિએશન,डेप्रिसिएशन,ഡെപ്രിസിയേഷൻ
Contingent Liability,कंटिंजेंट लायबिलिटी,કન્ટિન્જન્ટ લાયબિલિટી,कंटिंजेंट लायबिलिटी,കൊണ്ടിൻജന്റ് ലബിലിറ്റി
Financial Ratio,फाइनेंशियल रेशियो,ફાઇનાન્સિયલ રેશિયો,फायनान्शियल रेशियो,ഫിനാൻഷ്യൽ റേഷ്യോ
Liquidity Ratio,लिक्विडिटी रेशियो,લિક્વિડિટી રેશિયો,लिक्विडिटी रेशियो,ലിക്വിഡിറ്റി റേഷ്യോ
Solvency Ratio,सॉल्वेंसी रेशियो,સૉલ્વેન્સી રેશિયો,सॉल्वेंसी रेशियो,സോൾവൻസി റേഷ്യോ
Profitability Ratio,प्रॉफिटेबिलिटी रेशियो,પ્રોફિટેબિલિટી રેશિયો,प्रॉफिटेबिलिटी रेशियो,പ്രാഫിറ്റബിലിറ്റി റേഷ്യോ
Efficiency Ratio,इफिसिएंसी रेशियो,ઇફિશિઅન્સી રેશિયો,इफिशियन्सी रेशियो,എഫിഷൻസി റേഷ്യോ
Market Ratio,मार्केट रेशियो,માર્કેટ રેશિયો,मार्केट रेशियो,മാർക്കറ്റ് റേഷ്യോ
Budget,बजट,બજેટ,बजेट,ബജറ്റ്
Financial Planning,फाइनेंशियल प्लानिंग,ફાઇનાન્સિયલ પ્લાનિંગ,फायनान्शियल प्लानिंग,ഫിനാൻഷ്യൽ പ്ലാനിംഗ്
